"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kịch bản 2: Chỉ xử lý logic kiểm tra Đăng nhập thành công","73","Test case 02: Đăng nhập thành công và nhận Access Token","tests.api","2026-07-03","passed","2026-07-03","TestAuthenticationAPI","API Regression Test","",""
"Kịch bản 1: Chỉ xử lý logic kiểm tra Đăng ký tài khoản mới","84","Test case 01: Đăng ký tài khoản thành công với dữ liệu hợp lệ","tests.api","2026-07-03","skipped","2026-07-03","TestAuthenticationAPI","API Regression Test","",""
